table,row_count,row_approx,ui_files,workflow_refs
estimation_supplier_pricing,175,0,1,1
estimation_takeoff_items,409,0,5,8
estimation_team_assignments,3,0,1,1
estimation_transition_rules,25,0,0,1
estimation_waste_factors,30,0,0,2
estimation_waste_matrix,52,0,0,1
execution_data,5539,0,0,0
execution_entity,5539,0,0,0
field_job_cards,5,0,1,0
follow_up_tasks,0,0,0,0
follow_up_tracking,0,0,0,0
follow_ups,0,0,0,0
forecast_history,121,0,1,0
google_reviews,0,0,1,1
hr_ai_insights,0,0,0,0
hr_ai_interviews,1,0,2,3
hr_announcements,0,0,1,0
hr_asset_assignments,0,0,2,0
hr_attendance,60,0,4,2
hr_attendance_corrections,0,0,0,0
hr_attendance_rules,1,0,1,1
hr_audit_logs,0,0,1,0
hr_auto_decisions,670,0,1,1
hr_auto_mode_config,41,0,1,1
hr_candidates,10,0,4,4
hr_compliance_logs,0,0,0,0
hr_conversations,0,0,0,0
hr_departments,14,0,1,0
hr_document_acknowledgments,1,0,1,0
hr_document_templates,0,0,0,0
hr_documents,10,0,4,3
hr_employee_documents,0,0,0,0
hr_employee_payroll,0,0,0,0
hr_employee_shifts,0,0,1,0
hr_employees,34,0,6,4
hr_expense_claims,0,0,1,0
hr_goals,10,0,2,0
hr_interview_schedules,0,0,1,0
hr_job_applications,10,0,4,4
hr_job_requisitions,12,0,4,8
hr_leave_balances,104,0,3,2
hr_leave_requests,9,0,3,2
hr_leave_types,7,0,1,1
hr_notifications,0,0,1,0
hr_payroll,0,0,1,0
hr_payroll_periods,0,0,0,0
hr_performance_cycles,1,0,1,1
hr_performance_reviews,9,0,4,1
hr_policies,0,0,0,0
hr_policy_acknowledgments,0,0,0,0
hr_public_holidays,2,0,1,0
hr_recruitment_outreach,0,0,0,0
hr_shifts,1,0,2,0
hr_skills,0,0,0,0
hr_sourcing_runs,40,0,1,3
hr_survey_responses,0,0,0,0
hr_surveys,0,0,0,0
hr_training_enrollments,0,0,1,0
hr_training_programs,7,0,2,2
hr_training_records,13,0,2,1
inbound_messages,0,0,0,0
inbox_rotation_log,0,0,0,0
industry_campaign_templates,0,0,0,0
industry_lead_scoring,0,0,0,0
industry_templates,19,0,1,0
industry_vip_criteria,0,0,0,0
influencer_campaign_members,0,0,1,0
influencer_campaigns,0,0,1,0
influencer_outreach_log,0,0,1,1
influencers,0,0,4,0
insights_by_period,2781,0,0,0
insights_metadata,40,0,0,0
insights_raw,319,0,0,0
instrument_registry,10,0,1,0
insurance_claims,0,0,1,0
integration_logs,0,0,1,0
integration_usage,0,0,0,0
internal_notes,0,0,1,1
inventory_items,0,0,0,0
inventory_stock,0,0,0,0
inventory_transactions,0,0,0,0
ivr_flows,3,0,1,0
ivr_templates,10,0,1,0
journey_stages,0,0,0,0
knowledge_base,111,0,6,4
landing_page_submissions,0,0,0,0
landing_pages,9,0,5,1
lead_ai_analysis,0,0,0,0
lead_engagement_events,3892,0,0,2
lead_gen_credit_logs,0,0,0,0
lead_gen_credits,3,0,1,1
lead_gen_history,228,0,3,3
lead_gen_saved_searches,0,0,0,0
lead_gen_search_logs,0,0,0,0
lead_gen_searches,0,0,0,0
lead_generation_jobs,0,0,0,0
lead_interactions,1037375,0,0,1
lead_magnets,2,0,3,1
lead_notifications,0,0,0,1
lead_score_predictions,27,0,2,1
lead_scoring_models,22,0,1,1
lead_signals,4174,0,1,1
