=== ALL PUBLIC TABLES — 625 total ===

Table                                         RLS  Pol  Cols  Rows      Size      
video_templates                               ON   3    17    20        72 KB     
video_view_tracking                           ON   5    21    7         112 KB    
vip_routing_rules                             ON   5    9     2         48 KB     
visitor_sessions                              ON   5    25    1         80 KB     
visits                                        ON   5    15    0         48 KB     
voice_call_log                                ON   5    23    1         80 KB     
voice_credit_transactions                     ON   5    12    0         32 KB     
voice_credits                                 ON   5    19    1         64 KB     
voice_inbox_sync                              ON   1    6     1         96 KB     
voice_invoices                                ON   5    18    0         24 KB     
voice_marketing_calls                         ON   5    23    0         16 KB     
voice_packages                                ON   2    13    4         48 KB     
voice_phone_numbers                           ON   5    26    2         80 KB     
voice_phone_pool                              ON   2    12    1         48 KB     
voice_prompt_templates                        ON   2    12    15        144 KB    
voice_provider_config                         ON   2    21    13        48 KB     
voice_usage                                   ON   5    47    14        168 KB    
warmup_daily_log                              ON   5    15    13        64 KB     
warranty_tracking                             ON   2    14    0         64 KB     
webhook_entity                                ON   1    6     225       136 KB    
webhook_logs                                  ON   1    15    0         40 KB     
website_cta_clicks                            ON   2    6     26        32 KB     
website_leads                                 ON   2    14    2         64 KB     
website_visitors                              ON   5    31    575       480 KB    
workflow_dependency                           ON   1    9     6968      2 MB      
workflow_entity                               ON   1    18    43        2 MB      
workflow_errors                               ON   6    14    18        144 KB    
workflow_executions                           ON   5    15    0         16 KB     
workflow_health_log                           ON   2    11    0         32 KB     
workflow_history                              ON   1    10    49        7 MB      
workflow_publish_history                      ON   1    6     79        80 KB     
workflow_statistics                           ON   1    7     147       88 KB     
yt_analytics_snapshots                        ON   2    20    5         96 KB     
yt_channel_audits                             ON   2    52    1         64 KB     
yt_channels                                   ON   2    46    77        264 KB    
yt_client_economics                           ON   2    26    5         96 KB     
yt_client_reports                             ON   2    26    1         96 KB     
yt_competitor_alerts                          ON   2    18    4         80 KB     
yt_competitor_tracking                        ON   2    24    3         96 KB     
yt_content_calendar                           ON   2    19    6         96 KB     
yt_discovery_batches                          ON   2    21    36        48 KB     
yt_generated_assets                           ON   2    24    5         80 KB     
yt_oauth_connections                          ON   2    16    2         96 KB     
yt_outreach_campaigns                         ON   2    24    1         48 KB     
yt_outreach_sequences                         ON   2    13    7         96 KB     
yt_outreach_touches                           ON   2    17    166       200 KB    
yt_payment_transactions                       ON   2    14    3         64 KB     
yt_portal_messages                            ON   2    11    3         80 KB     
yt_portal_users                               ON   2    18    2         96 KB     
yt_seo_packages                               ON   2    21    3         64 KB     
yt_thumbnail_tests                            ON   2    29    3         80 KB     
yt_trending_topics                            ON   2    22    4         80 KB     
yt_video_scripts                              ON   2    25    1         80 KB     


=== SUMMARY ===
Total tables: 625
RLS DISABLED: 0  -> EVERYONE can read/write (if reachable by anon/auth grants)
RLS enabled but NO policies: 19  -> deny-all (UI shows empty)
RLS with policies: 606

=== RLS DISABLED TABLES (review grants) ===

=== RLS ENABLED BUT NO POLICIES (deny-all) ===
  agent_performance  (rows=0)
  ai_insights  (rows=0)
  ai_model_configs  (rows=47)
  blog_accounts  (rows=0)
  channel_config  (rows=0)
  competitor_profiles  (rows=3)
  hr_ai_insights  (rows=0)
  hr_attendance_corrections  (rows=0)
  hr_compliance_logs  (rows=0)
  hr_employee_payroll  (rows=0)
  hr_payroll  (rows=0)
  hr_policies  (rows=0)
  hr_skills  (rows=0)
  hr_surveys  (rows=0)
  hr_training_enrollments  (rows=0)
  marketing_webhooks  (rows=0)
  scraped_content  (rows=5)
  team_member_sessions  (rows=0)
  tenant_channels  (rows=0)
