=== ALL PUBLIC TABLES — 625 total ===

Table                                         RLS  Pol  Cols  Rows      Size      
competitor_tracking                           ON   6    20    15        48 KB     
competitors                                   ON   5    15    21        64 KB     
consent                                       ON   1    14    0         16 KB     
consent_log                                   ON   1    11    31        64 KB     
consent_records                               ON   1    19    0         32 KB     
consent_signatures                            ON   1    8     0         16 KB     
consent_templates                             ON   1    13    0         16 KB     
contact_channel_map                           ON   2    8     0         48 KB     
contact_engagement_patterns                   ON   1    18    0         40 KB     
contacts                                      ON   4    89    24        160 KB    
content_attribution                           ON   1    16    0         32 KB     
content_calendar                              ON   1    16    0         16 KB     
content_performance                           ON   1    25    0         16 KB     
content_repurpose_jobs                        ON   5    12    2         48 KB     
content_versions                              ON   1    12    0         16 KB     
conversation_merges                           ON   1    7     0         32 KB     
conversation_messages                         ON   1    23    0         64 KB     
conversation_ratings                          ON   2    17    0         40 KB     
conversation_resolution_log                   ON   1    19    13        64 KB     
conversation_tag_assignments                  ON   2    6     0         40 KB     
conversation_tags                             ON   5    9     170       104 KB    
conversations                                 ON   4    33    31        144 KB    
conversion_events                             ON   1    10    0         16 KB     
conversions                                   ON   1    10    0         16 KB     
countries                                     ON   2    4     65        32 KB     
credentials_entity                            ON   1    11    50        160 KB    
credit_transactions                           ON   1    12    0         40 KB     
customer_360                                  ON   1    37    0         32 KB     
customer_health_scores                        ON   1    16    0         40 KB     
customer_identities                           ON   1    10    0         16 KB     
customer_lifecycle_enrollment                 ON   1    12    0         40 KB     
customer_lifecycle_stages                     ON   1    13    0         24 KB     
customer_loyalty                              ON   1    11    0         32 KB     
customer_ltv_cac                              ON   6    30    82        168 KB    
customer_marketing_prefs                      ON   1    25    0         32 KB     
customer_relationships                        ON   1    8     0         16 KB     
customer_reviews                              ON   1    17    0         16 KB     
customer_timeline                             ON   1    16    0         16 KB     
customers                                     ON   1    56    40        272 KB    
daily_metrics                                 ON   1    25    0         16 KB     
deal_activities                               ON   1    12    0         136 KB    
deals                                         ON   1    38    8         584 KB    
default_checklist_items                       ON   2    8     19        48 KB     
deliverability_metrics                        ON   5    26    27        96 KB     
delivery_connectors                           ON   1    15    0         24 KB     
do_not_contact                                ON   1    22    129       296 KB    
document_tracking                             ON   5    15    3         96 KB     
email_sequence_steps                          ON   1    20    0         24 KB     
email_sequence_subscribers                    ON   1    15    0         32 KB     
email_sequences                               ON   1    22    0         24 KB     
email_template_library                        ON   6    16    35        208 KB    
email_templates                               ON   5    16    6         32 KB     
email_verification                            ON   2    21    314       280 KB    
email_warmup_status                           ON   6    24    23        128 KB    
employer_branding_content                     ON   1    12    0         16 KB     
engagement_responses                          ON   3    22    30        96 KB     
enrichment_api_usage                          ON   1    14    0         16 KB     
entity_links                                  ON   1    12    0         32 KB     
escalations                                   ON   1    11    0         32 KB     
estimation_activity_log                       ON   6    11    68        104 KB    
estimation_bidsets                            ON   6    33    31        168 KB    
estimation_drawing_pages                      ON   1    26    18        272 KB    
estimation_estimates                          ON   6    38    8         64 KB     
estimation_learning_data                      ON   2    23    0         80 KB     
estimation_materials                          ON   6    67    53        136 KB    
estimation_projects                           ON   6    100   10        272 KB    
estimation_revisions                          ON   3    23    0         24 KB     
estimation_rfis                               ON   6    21    2         64 KB     
estimation_room_details                       ON   2    22    4         48 KB     
estimation_room_polygons                      ON   1    15    35        120 KB    
estimation_rooms                              ON   6    39    66        136 KB    
estimation_spec_data                          ON   2    18    1         48 KB     
estimation_supplier_pricing                   ON   3    22    175       104 KB    
estimation_takeoff_items                      ON   6    48    409       320 KB    
estimation_team_assignments                   ON   6    16    3         48 KB     
estimation_transition_rules                   ON   2    10    25        32 KB     
estimation_waste_factors                      ON   6    13    30        48 KB     
estimation_waste_matrix                       ON   2    9     52        48 KB     
execution_data                                ON   1    4     5539      2 GB      
execution_entity                              ON   1    13    5539      3 MB      
field_job_cards                               ON   1    29    5         48 KB     
follow_up_tasks                               ON   1    13    0         16 KB     
follow_up_tracking                            ON   1    4     0         16 KB     
follow_ups                                    ON   1    18    0         24 KB     
forecast_history                              ON   7    15    121       144 KB    
google_reviews                                ON   1    10    0         16 KB     
hr_ai_insights                                ON   0    13    0         24 KB     
hr_ai_interviews                              ON   3    41    1         144 KB    
hr_announcements                              ON   1    17    0         24 KB     
hr_asset_assignments                          ON   2    20    0         32 KB     
hr_attendance                                 ON   1    29    60        112 KB    
hr_attendance_corrections                     ON   0    12    0         16 KB     
hr_attendance_rules                           ON   1    19    1         48 KB     
hr_audit_logs                                 ON   1    11    0         48 KB     
hr_auto_decisions                             ON   2    15    670       392 KB    
hr_auto_mode_config                           ON   3    12    41        120 KB    
hr_candidates                                 ON   6    45    10        248 KB    
hr_compliance_logs                            ON   0    8     0         24 KB     
hr_conversations                              ON   1    15    0         40 KB     
hr_departments                                ON   1    14    14        48 KB     
hr_document_acknowledgments                   ON   1    9     1         48 KB     
hr_document_templates                         ON   1    8     0         24 KB     
hr_documents                                  ON   1    33    10        152 KB    
hr_employee_documents                         ON   1    13    0         40 KB     
hr_employee_payroll                           ON   0    28    0         48 KB     
hr_employee_shifts                            ON   1    9     0         32 KB     
hr_employees                                  ON   1    90    34        136 KB    
hr_expense_claims                             ON   1    19    0         32 KB     
hr_goals                                      ON   2    16    10        80 KB     
hr_interview_schedules                        ON   1    30    0         56 KB     
hr_job_applications                           ON   5    58    10        248 KB    
hr_job_requisitions                           ON   5    70    12        200 KB    
hr_leave_balances                             ON   1    18    104       88 KB     
hr_leave_requests                             ON   1    24    9         96 KB     
hr_leave_types                                ON   1    10    7         32 KB     
